,PRODUCTCODE,pdt_inclexcl_ENG_CONTENT,pdt_product_detail_PRODUCTDESCRIPTION,pdt_inclexcl_ENG_CONTENT_lang
9233,246730P1,Experienced guide,"Our goldsmiths have been trained in a french jewellery school and the national intitut of gemmology of Paris.
We will share with you our knowledges about precious metal as well as our passion for gem stones.
Our shop has been specialised in antic pieces of jewellery expertise and jewellery manufacturing for two generations. ",es
9234,246824P1,Licensed guide ,"Let's create an Above & Beyond experience for you!

We have tours from Tribeca to World Trade Center; Bronx and Harlem; Museum Mile; Hudson Yards; Williamsburg Bridge; Central Park; and many, many more! We can also curate your own tour as we visit iconic sites and off the beaten path gems. 

We have private walking tours for groups up to 10 people, where I can show you the ins and outs of the infamous NYC subway system and also offer private SUV/Black Car service. Every month we create a new way to go Above & Beyond with monthly specials that include personal tours on Mondays and Thursdays.

About Me:

I am a passionate, licensed guide, homegrown from the Bronx. I have been giving tours for over 10 years and currently live in the Upper West Side. I love showing tourists what makes the city come alive. I am constantly fascinated by the city's people and those who visit. It's this insatiable curiosity that fuels me daily.",nl
9284,247260P8,Phone charger; Guide / audio-guide; Food and drinks,"Travel in peace in a comfortable vehicle with a professional and experienced driver. Your private driver will take you to the heart of the city of Reims or Epernay and its region, located 150 kilometers east of Paris, for a breath of fresh air and a guaranteed change of scenery, just an hour and a half drive from the capital. It will drop you off at the foot of the magnificent Reims Cathedral (for example) and agree with you on a pickup time and location to bring you back to Paris.",nl
9290,247329P3, Accès à la Tour Eiffel (coupe-file),"Avant d'acheter votre billet, veuillez verifier that la France ou l'Union européenne vous autorise à accéder au territoire, sinon nous ne sommes pas responsible for modifications ou des remboursements

Ce billet d'accès direct à la Tour Eiffel vous permettra de profiter au maximum de votre séjour à Paris.

Pour commencer, vous éviterez la file d'attente et vous pourrez contempler le monument depuis l'un des meilleurs points d'observation de la ville.

Profitez de l'accès direct et entrez dans cette cellebre attraction par un petit groupe de 20 personnes maximum.

Montez dans l'ascenseur (ou les escaliers, en fonction de votre billet) et montez à la terrasse d'observation au deuxième étage ou au sommet si vous sélectionnez le billet pour le sommet. De là, jetez un œ au au panorama de la capitale française qui s'étire devant vous. Vous aurez an aperçu du Center Pompidou et de la celèbre rivière Sienne.",fr
9333,247562P254,Expert Local Driver-Guide; Giverny Entrance fees; Transportation; Private Tour; Versailles entrance fees,"This full-day tour will take you to two of France’s iconic homes: one that inspired Monet’s masterpieces and one that expressed the grandeur of Louis XIV’s reign. A private chauffeur will pick you up at your hotel and first drive you to the village of Giverny, about one hour from Paris, where Monet lived for forty-three years, from 1883 to 1926. You will visit his house and the splendid gardens that the Impressionist painter depicted in his artworks. Then you will reach Versailles to explore the stunning palace that Louis XIV created in the 17th century out of his family’s hunting lodge. You will see impressive rooms including the Hall of Mirrors, the King and Queens’ apartments and the recently renovated Royal Chapel and Royal Opera, and then you will visit the stunning gardens, with the famous Grand Perspective that draws the eye towards the horizon, the beautiful",fr
9434,24863P2,Ghost Host Extraordinaire,See the ghosts of the East Village in an entertaining way. You will cover about a mile of ground in ninety minutes. We get our facts straight on the history and the folk lore.,ro
9519,250345P2,Map,"Have you ever walked in the woods with a professional violinist guiding and playing all along the way? On this experience you'll enjoy a nature and music emersion that will take you away from the noise and stress of the city life, and give you a opportunity to recharge, renew and slow down. 

You'll learn history, geology, and things about the plant-life and the music that I'll be playing at stops along the way.

I've been a professional violinist and Austin music icon for over 20 years, jamming with folks such as Willie Nelson, Pearl Jam, Gary Clark Jr., Shawn Colvin, Shiny Ribs, Guy Forsyth, the Turtle Island String Quartet at Town Hall in New York City and so many more. I'm a lover of the outdoors and the magic of bringing people into nature for life-changing moments of connection and musical bliss. I have been a concert presenter for over 20 years and in 2006 produced a concert of the Beatles White Album that was broadcast on radio and drew over 1600 folks for two shows. ",sw
9525,250654P2,Guide,"Travel through 5,000 years of art history at the Metropolitan Museum
Skip the long lines to the Met with a pre-reserved ticket
See art by Van Gogh, Picasso, Singer Sargent and more
Learn about Ancient Egyptian burial techniques
Marvel at an intact monument from Pompeii
Get panoramic views of Central Park from an exclsuive VIP rooftop garden
Hear fascinating stories behind the art, in lieu of boring facts and figures!",es
9533,251032P2,Guide,"Take a personalized tour of Central Park by pedicab
Enjoy multiple stops to go for a walk at the most scenic locations
Customize your route with your driver/guide",es
9534,251054P1,Walking Pole,"The fact of being a tour guide for so many years and a passionate about traveling makes me well skilled to show the hidden secrets of the heritage Montserrat has. In times where almost anybody who speaks English can work as a guide, professional and entitled guides become the best option to show you the best of each place. We care about all the context of the place we visit: history, nature, arquitecture, art,gastronomy and much more! We are also a small almost private group. As some people say: ""sometimes less is more""",id
9547,2512BCARD,"Barcelona Card; Free unlimited use of public transport; 27 Museums and venues of the city; Map of the Barcelona metro network.; Guide in six languages (English, Catalan, Spanish, French, German and Italian); Barcelona Shopping Card. Exclusive advantages at more than 80 shops.; Casa Amatller -20% Discount; Casa Vicens -25% Discount; L’Aquàrium de Barcelona -20% Discount; Cripta Gaudí de la Colònia Güell -20% Discount; Sant Pau Recinte Modernista -20% Discount; Mirador Torre Glòries -20% Discount; Telefèric de Montjuïc -15% Discount; Pavelló Mies van der Rohe -25% Discount; Fundació Vila Casas: Museu Can Framis i Espais Volart -25% Discount; Museu d’Arqueologia de Catalunya -25% Discount; Zoo de Barcelona -20% Discount; Discounts for Flamenco Shows and many more attractions...; Palau de la Música Catalana -25% Discount; KBR Fundación MAPFRE Barcelona Photo Center for 3 € special price; Palau Güell -25% Discount; Casa Milà - La Pedrera -3 € Discount for La Pedrera Essencial adult entrance; Casa Batlló -3 € Discount","The Barcelona Card is the official city card of Barcelona, providing unrestricted access to the city's public transport system, including buses, metros, and trains, allowing for easy navigation through the city and access to its many attractions. The card offers flexible options of 72, 94, and 120 hours, enabling visitors to select the best fit for their travel plans. This budget-friendly option provides discounts on major museums, attractions including the Picasso Museum, MOCO Museum, MACBA, Egyptian Museum, and more, with free entry to over 27 museums and a guidebook with maps and city information. By using the Barcelona Card, tourists can save on admission fees and access special discounts at must see landmarks, venues, entertainment and tours, making it a must-have for anyone visiting Barcelona. Overall, the Barcelona Card is an excellent choice for visitors looking to explore the city economically, with unlimited access to public transport and discounted entry to top attractions",ca
9579,251482P1,An animator guide,"Very convivial moment, within a group of 8 people maximum.
We take great pleasure in welcoming you and sharing our passions for wine and French gastronomy.
You will live a real French moment!
",it
9630,252002P1,"board, wetsuit, wardrobe, changing rooms, showers","It is the best way to explore the beaches of Barcelona. The fashionable sport on the Mediterranean coast.
Join one of the most booming sports in recent years, explore, disconnect and enjoy the sea with the best energy in Barceloneta.
From our school on the seafront we will explain what you need so that you have a good experience and can fully enjoy an hour of Paddlesurf rental.
",af
9663,252750P1,Sunscreen; Water,"Learn all about Austin and its rich history while enjoying an awesome view of the city from atop of a double-decker bus. You get the best views of Austin from our unobstructed upper deck, making this the best tour for taking photographs. People on the street also love to interact with people on the upper deck! For your comfort, the lower deck is climate-controlled. This tour passes by more downtown attractions than any other Austin tour. Every tour has a driver and tour guide with absolutely no audio recordings. Enjoy your Austin experience much more by interacting with our guides, whose sole focus is making your experience fun and interesting.",nl
9695,253749P2,Local guide,"This tour is presented by a 5th generation local who was twice featured in the New York Times for tour guiding. On this tour we will explore the zany and unusual history of how New York City became the unofficial capital of the world that it is today. From peg legged Dutch governors, to pirates, to slave revolts, and riots -- we discuss the history that often gets passed up on in favor of more mainstream subjects. If you are looking for something that is off kilter, this is the tour for you!",es
9741,2540P83,Live DJ entertainment,"Bubbles, beats and brunch. The name says it all well and this cruise is ready to take your brunch to the next level. It’s brunch, but not as you know it. Sip on bubbly or get creative at the bloody mary bar as the beats keep you dancing the day away. When you need to escape the hustle and bustle, get your crew together, get down and make your Sunday count. See New York. Be New York and brunch it up on this party cruise!",fr
9784,255400P1,Private transportation,"Your driver is there!
No more waiting hours at the airport booked me in one click I will be there for you only.",it
9913,25955P5,"Local, professional guide","Take a unique guided tour of the East Village while supporting the scholarship of grassroots urban space activism. Visit NYC landmarks like Tompkins Square Park and the Christodora House and discover the roles they played in times of social protest. Immerse yourself in vibrant Alphabet City, long one of New York’s hippest cultural centers.",it
9928,260173P1,Guiding; mobile app,"This tour combines walking, playing and learning. There are no extra costs, no entry fees , no objects, no guides. Everything you need is included in the app we offer. You will have an amazing time wandering around the city and learning info about the most important attractions of the city. It is highly recommended for families, friends, couples, students, companies and team building activities.
The tour supports English, German, Italian, French and Spanish",it
9940,260547P1,Hand sanitizer,"With a history of over 160 years, Manhattan’s Chinatown is one of NYC’s oldest neighborhoods. Experience Chinatown through the intimate lens of the 1882 Chinese Exclusion Act, the first U.S. law that banned an entire ethnic group from coming into this country for more than 60 years. Through our immersive tour, you’ll discover the dark origins of the neighborhood, hear stories of assimilation and sacrifice, and learn about the challenges that Chinese-Americans continue to face in pursuit of the American Dream.

From the unsavory origins of chop suey to the violent past of the Bloody Angle, join us as we uncover the stories of a historically marginalized community. Whether you’ve come to Chinatown for years or it’s your first time, you’ll walk away (no pun intended) with a deeper understanding and appreciation of this storied neighborhood.",de
9994,261878P1,Photo stops,"WHY CENTRAL PARK PAW?
 ~ We give you garantee that we are the most prepared tour agency for Central Park Tours with:

* We wrote a story books with interesting pictures and stories. Also Statue Book over than 70 statues and monuments in Central Park. And our Flowers book.

* We bought our ipads to show you some movie scenes from the locations to remind you and keep you exciting entire tour. 

* We got our second I Phones to give you amazing pictures.

~We take you as a our guests not just a customers. After our tour we will get engaged forever ✌️

~We give you everything you need in the tour. Like stops,pictures,history,gossip, celebrities houses, crazy real estate stories, free activities around the park ect..

~We have very educated, licensed tour guides with sense of humor 6-13 years experienced.",cs
10039,2625P49,Gratuities,"First time visiting New York City? Where do you even begin?

Don’t worry, we’ve got you covered!

The New York Top 6 package combines six of the most popular New York City attractions -- specially curated and bundled together to give you the ultimate sightseeing experience with maximum savings! Valid for 30 days from the first day of use, you’ll have plenty of time to explore this great city at your own pace. Take your Big Apple adventure to the next level!",af
10058,262975P1,Guide,"This type of tours lets us cover more of the city and have more detailed conversations than we would on a normal tour, proving there's a silver lining to any situation.

What a great way to make a plan before you visit Paris if you haven't already, to save Money, Time and make the most of it with the best experience!",es
10086,264510P2,Guide in person,"Explore Montmartre with a local resident!
Discover the history of the Butte, its anecdotes, the Montmartre Bohème ...",nl
10147,265969P1,Sunscreen; Towels,"Take a private boat trip with your friends or family and sail away from the rush city.
You will enjoy the mediterranean sea and the spanish sun in an amazing half day trip. We will sail along the beaches of Barcelona to the north up to the beautiful Montgat beach. 
Montgat is a small fisherman village with a quiet and clear water beach where you will be able to chill out for 1 hour swimming, snorkeling and enjoying the tasty snacks and drinks that we will serve on board.
Finally we will come back to Barcelona listening to your favourite songs and enjoying the breeze and sun.",nl
10230,26729P38,Transport from/to departure point,"Crepes, chocolates and macarons in one of the most beautiful neighborhood of Paris : the hilltop village of Montmartre !

Crepes, Chocolates and Macaron in the charming streets of Montmartre !

Stroll the streets of Montmartre and its history via a true French afternoon tea time ! 

Montmartre's reputation is second to none for its artiste and laid back atmosphere with so many secrets.

In this afternoon sweet walking tour you will get the chance to visit the main points of interest of Montmartre while tasting some amazing treats ! 

Visit bakeries, pâtisseries and local food artisans that make Montmartre so special.

Because we care about the planet, we have decided to stop giving water bottles systematically. Instead, we kindly request that you bring your own bottle to ensure you stay hydrated throughout your journey. By doing so, together, we can make a positive impact on our environment!",pt
10242,26751P7,"1 ou 2 passagers, un dans le panier, l'autre derrière le pilote.; Hotel Pick Up & Drop Off; Use of Helmet; Professional Driver; Local Guide; Gloves and Goggles (if necessary)","This Tour will blow your mind away and allow you to enjoy the charm of the capital. 

Discover the historical knowledge and get to experience first hand with our specially licensed Gentleman Sider..

Let yourself be taken on a tour abord a unexpected vehicle for 2 passengers, 1 comfy in the sidecar 1 funny behind the pilot (possibility to switch)

Be driven through the lesser-known parts of the city with anecdotes and histories to give colour to the scene

Your gentleman Sider will meet at the place of your choice if it is within the vicinity of Paris intra-muros (District 1st to 17)

We can customize the tour regarding your own interests.",fr
10245,26797P11,Guide,"See this AMAZING public park and all it's amazing sights and sounds UP CLOSE , not passing by, Hear the history of Central Park, famous filming locations, Scenic trails, tips on taking the best photos, walk the “Mall” with its famous statues, and known historical figures, amazing standing structures, The Dairy, Tavern on the Green, The Boat House, amazing Roman style tunnels, tour finishes at Strawberry Fields and the John Lennon “Imagine” memorial.",es
10404,270260P3,Musée Gustave Moreau; Musée de la vie Romantic; Galerie Lafayette (during opening hours),"The guide is a historian. He is specialised in the history of the 19th century in Paris. He is passionate about this location of the 9th district, because it's delicate and a hidden gem.

With this very experienced guide you will walk through another period of Paris. We surround ourselves with the rich cultural life of the artistic bohemians – full with architecture, art and nature of the 19th century. The guide makes his story even more clear by illustrations. 

The 19th century of Romanticism and Belle Epoque will come alive in this tour. Including plenty of photo opportunities in the Paris you've never seen before.",fr
10405,270260P4,ticket for museum,"In this unique ""2 tours in 1"" we combine Montmartre with my favourite museum, Musée d’Orsay. We start in the birthplace of Impressionism. We see the place where Van Gogh has lived, where Renoir painted his masterpiece, Picasso’s studio, the Moulin Rouge of Toulouse-Lautrec. We finish at the Sacre Cœur where we enjoy a breath taking view over the city.

After tasting the atmosphere of this neighbourhood we move to Orsay to see paintings made in Montmartre. We walk through “the artistic heaven” incl. ""Déjeuner sur l’Herbe"" by Manet, ""Moulin de la Galette"" by Renoir, portraits of the Moulin Rouge stars by Toulouse Lautrec, Starry Night by Van Gogh.

Because of the stunning architecture of the old train station you can make some beautiful pictures of Paris. Through impressive pointers of the clock we see the Sacre Coeur in the background, where we were only 1 hour before. 
Special price (-25%) for children and youngsters, because I believe it’s important to stimulate them art and culture.",da
10414,270370P8,Audio guide,"Enjoy the Monastery at your own pace with two tours in an audio guide for your mobile phone. Two tours to discover the monastic complex and the Romanesque cloister.

You will learn about the history and architecture of the entire monumental complex with ""Feel the voice of the Monastery"" and you will discover the magnificent stories of the Romanesque capitals of the cloister with the ""Medieval stone book"".
",es
10419,271039P1,Harness,"Strong sensations and challenges guaranteed through various courses: Flea jumps, stirrups, rope bridges, climbing walls, zip lines, tarzan liana, jumping in the void. Our courses are totally secured with the continuous lifeline system.

If you love adrenaline, surpassing yourself and enjoying an unforgettable experience to reconnect with nature, you know what you have to do!
",no
10420,271039P4,Harness,"Immersed in the middle of the forest, you will venture on the trees in a green setting in the middle of nature! 

Thrills and challenges guaranteed through various courses: Flea jumps, stirrups, bridges of
ropes, climbing walls, zip lines, tarzan liana, quick jump. Our routes are totally
secured with the continuous lifeline system.
",no
10436,271552P2,Experienced Local Guide; Transport,"Do you only have morning or an afternoon in Barcelona? On this private guided walking tour with an expert, passionate and friendly guide you will visit all the essential places of the city in half a day.

In the first part we will start with a trip to old Barcelona. From Roman origins through medieval times in the famous Gothic Quarter, a labyrinth of small medieval streets rich in fantastic stories and details, where you can admire the best of Catalan medieval Gothic art: the churches, the palaces, the marks of the past.

After a 15-minute break, the second part of the visit will focus on 19th century and early 20th century Barcelona, ​​with the wonderful modernist palaces and the architectural grandeur of Antoni Gaudí, with Casa Batlló, La Pedrera and the emblematic Basilica of the Sagrada Familia. The best way to have the authentic Barcelona experience.",es
10437,271552P3,Experienced local Guide; Transport,"Discover the oldest part of Barcelona with an expert and friendly local guide. You will learn everything about our city's past in an entertaining and lively way. You will visit the most emblematic places to understand the history, culture and traditions of Barcelona and Catalonia. Medieval palaces and churches, neo-Gothic buildings and bridges, ancient Roman tombs and aqueducts for an unforgettable journey through Barcelona of the past.",es
10438,271552P4,Metro ticket to Sagrada Familia; Experienced Local Guide,"A guided walking tour of Modernist Barcelona architecture with an expert and passionate local guide. On this tour you will discover the most outstanding and surprising buildings that were built between the 19th and 20th centuries, such as Casa Milá, Casa Batlló the Sagrada Familia, and learn of the genius Antoni Gaudí . A journey into the luxury and madness of belle epoch Barcelona , among dragons, fairytale towers and secrets hidden at first sight.",es
10440,271552P7,Expert Local Guide,"In this fascinating night adventure in the company of a passionate local guide, we will relive the crazy Barcelona of a century ago, talking about the most emblematic sights and places of the Gothic Quarter and Raval district, an area formerly known as ""Chinatown"". Among tales about brothels, historic bars and hidden details, we will discover why Barcelona has become a famous and controversial place for nightlife.",ca
10479,274871P9,helmet if needed,"Discover Paris like never before on our extraordinary bike tour! Immerse yourself in the city's most iconic landmarks as we take you on a captivating journey through history and culture.

Starting at Île de la Cité, before pedaling towards the world-renowned Louvre Museum, home to timeless masterpieces including the enigmatic Mona Lisa. As we continue, marvel at the grandeur of Place de la Concorde, where history unfolds amidst impressive monuments and beautiful fountains.

Prepare to be enchanted by the majestic Grand Palais and cross the elegant Alexandre III Bridge. Of course, no trip to Paris is complete without a visit to the iconic Eiffel Tower. Our tour includes a delightful ride along the picturesque Seine River, providing a unique perspective of Paris' landmarks.

What sets us apart is our commitment to creating an intimate and immersive experience. Our expert guides ensure personalized attention and foster a sense of camaraderie among fellow adventurers.

Book now!!! 

",nl
10483,275837P10,Expert Guide,"Immerse yourself in the lives of prolific characters - some more famous than others - as our expert guide magically brings to life the men and women whose lives we immortalise.

From tombstone to sarcophagus, you’ll learn of the tragic love stories of the like of Héloise & Abélard (Romeo and Juliet), visit the tomb of Jim Morrison, see R-rated sculpture of Victoir Noir's effigy, lip-stick kiss covered tombstone of Oscar Wilde and more. (This experience can be adjusted to be kid-friendly)

Your expert & local guide will be waiting for you at the designated meeting point to take you for this light-hearted walk into the Père-Lachaise cemetery. Our unmatched storytelling approach and attention to delivering one-of-a-kind experiences are an absolute must-have once you have decided to visit the most famous and coveted burial grounds located in the 20th arrondissement of Paris.

We take pride in working with sizeable groups, so you'll have the full attention of our experienced guides.",ca
10495,276954P2,private ride; skipper or boat captain 100 euros,"Come and enjoy a sailing trip and discover a sailing adventure.

Spend the morning or afternoon with friends or family aboard the Aida.

Departures from Sitges to discover the Costa del Garraf or the Costa Dorada, stopping at some of its coves to anchor.

We can organize food and drinks for the day with a budget, or you can bring it too.
minimum 6 people and maximum 9 people",ro
10496,276954P3,private ride; skipper or captain €160,"Discover the Costa del Garraf, or the Costa Daurada aboard our sailboat Aida.
A full day with family or friends, including paddle surfing.
We can organize food and drinks on request, a beer tasting could be included.
You can also bring your things to eat and drink.
Minimum 6 pax to reserve and maximum 9 people",ro
10519,277392P2,Private guide; Entrance 4.30 Euros each Monument,"This private and picturesque walk alongside an experienced guide-lecturer will allow you to discover the history and heritage of the medieval city of Provins before returning to visit the various monuments (following restrictions linked to the fight against Covid-19 , monuments are closed until further notice. Consult the Tourist Office website for more information).",es
10523,278147P2,Boat,"Enjoy Luxury Boating at you finger tips on Lake Austin! Home to waterfront dining, celebrity homes, one of the best party coves in Texas, as well as the iconic Pennybacker bridge. This is the perfect setting for Lake Austin boat tours, and one of the best party lakes in Texas. Our Lake Austin Charter boat service picks up customers at the iconic 360-bridge boat ramp, which is a short 15-minute drive from downtown Austin. This is especially convenient for groups that are visiting Austin. Once on the water, what we do and where we go is totally up to you! Just tell your captain what you have in mind and they will take care of the rest.. Sit back and relax while your captain does all the work! ",ro
10524,278147P3,Boat,"Enjoy Luxury Boating at you finger tips on Lake Austin! Home to waterfront dining, celebrity homes, one of the best party coves in Texas, as well as the iconic Pennybacker bridge. This is the perfect setting for Lake Austin boat tours, and one of the best party lakes in Texas. Our Lake Austin Charter boat service picks up customers at the iconic 360-bridge boat ramp, which is a short 15-minute drive from downtown Austin. This is especially convenient for groups that are visiting Austin. Once on the water, what we do and where we go is totally up to you! Just tell your captain what you have in mind and they will take care of the rest.. Sit back and relax while your captain does all the work! 

We will bar hop on the lake, drive by celebrity houses, and enjoy a booze cruise on Lake Austin. If you would like to anchor up in the party cove and raft up next to party boats we can do that too!
",ro
10529,278397P1,Transport,"Let's get lost for a while among the boulevards and streets of Paris, among the flowering plane trees and priceless cultural sites. We will drive through the most majestic and iconic places of the city, plunge into its history, enjoy its beauty and indescribable charm, and also look into not the most famous, but the most atmospheric corners of Paris.",no
10563,281275P1,Luggage rack,We respect all the needs of our customers. We are always on time and our priority is your comfort. We only use new and luxury cars because we want to give you the best possible service.,sv
10568,281767P39,Entrance to Panthéon Paris,"Discover the Pantheon, The Temple of All Gods of Paris. Admire this beautiful historical monument from the inside too, not just the outside! Indulge in its rich history!",fr
10570,281767P42,all day entrance to Centre Pompidou,"Visit the biggest Modern Art museum of Europe, located in Paris. It also has a large public library, with our entrance you can get a fast entrance and spend at least half a day there.",es
10571,281767P43,entrance to Sainte Chapelle,"Admire Paris' most famous and beautiful Gothic church, the Sainte Chapelle from the inside! Learn the story about its magnificent windows! Save time with our skip-the-line entry tickets!",fr
10572,281767P48,all day entrance to Louvre Museum,"Explore the world's most famous and most visited museum, the Louvre Museum in Paris! At the ticket offices, there are usually 1-2 hours of waiting lines, save this valuable time with our tickets, and have more time for yourself!",fr
10573,281767P51,entrance to Casa Mila - La Pedrera,"Visit Casa Mila (La Pedrera) and you will enter the world of Antoni Gaudi and discover for yourself how nature is the origin and inspiration of the building.

Casa Mila, popularly known as La Pedrera, is a UNESCO World Heritage Site and the architect’s last civic architectural project. It is a unique building, a masterpiece of nature that reveals Gaudi’s boundless imagination.

La Pedrera is also the only Gaudi interpretation centre in Barcelona and is an essential place to visit in order to learn about the architect’s entire body of work and his inspiration. In total, you will tour 4,500 square metres divided across five floors. On this tour you will be able to discover for yourself during the day all the parts of the building open to visitors. ",es
10574,281767P52,entrance to Casa Batllo,"Discover Gaudí’s masterpiece, a UNESCO World Heritage site Your visit includes a full tour of this universal gem of architecture, as well as of the installations created by internationally renowned artists based on the legacy of an innovative and eternal genius.",es
10626,284316P44,Audio Guide in your phone ,"Discover the Gothic Quarter, the historic heart of Barcelona with its narrow streets, artisans, beautiful squares and famous buildings.

Your only guide for 1h30 ? Your smartphone.
The stories, designed by professional guides and actors, are automatically triggered from the Rewind app. Start whenever you want, alone or with others!

- Discover the Cathedral of Barcelona and the main monuments of the city
- Stroll through the small streets and beautiful squares of the district, source of inspiration for many film directors
- Learn about the vibrant history of Barcelona from Roman times to the present day
- Discover the old Jewish quarter of the city
- Get to know Santa Eulalia, co-patroness of the city and also Saint George, the patron saint of all Catalonia!",fr
10721,291969P2,Paddle; Kayak; Water; Guide,"Join our guides for the ultimate bat watching experience!

Our Sunset Bat Tour offers stunning views of the Downtown Austin Skyline, fun facts about the local bat colony, and the chance to see the 1.5 million Mexican Free-Tailed bats emerge from the famous bat bridge.

We are located minutes away from the Congress Avenue Bridge. ",id
10723,291969P5,Kayak; Paddles; Life Jackets,"Follow our experienced guides on a fun filled journey to Barton Springs! The natural spring fed water is a must see while in Austin. Not only will you see the clear waters, you will also see stunning views of the Downtown Austin Skyline. ",id
10757,299045P1,Licensed tour guide ,"Crimes The Tour is the walking tour through the old town with which you will discover the real crimes that most terrified the people of Barcelona for decades. You will walk through the Raval, the Gothic and the Born and we will reveal details that will not leave you indifferent. Nothing will ever be the same in Barcelona after Crimes.",fr
10911,305035P2,Live tour guide,"New York is one of the few cities in the world that offers emotions at any time of the year you decide to visit it but there is certainly a better time than the others and it is the month of December.

It is as if the big apple and Christmas become a single soul that finds its maximum expression in the famous neighborhood of Dyker Heights, in Brooklyn.

What is special about Dyker Heigths? The ability to experience Christmas, embracing it with a series of thematic decorations that cannot be expressed with words because the magic that this place offers is unique in its kind.

The owners of the houses in this neighborhood have been carrying on the tradition of lights for a long time and have made Dyker Heights a very important tourist destination.

Our Tour will take you to Brooklyn every day at 4:00 pm and for four hours you can immerse yourself in the brilliance and beauty that the illuminations of Dyker Heights will give you. The tour ends at Bryan Park (40 St & 6 Av).

",fr
10912,305035P3,Private guide,"New York is not just Manhattan but a multi-ethnic and cosmopolitan city that, thanks to our exclusive tour, you will be able to fully appreciate. The tour begins along the Hudson River, passing through the African-American neighborhood of Harlem until arriving in the Bronx in front of Yankee Stadium. After the external visit of the stadium, the tour continues in the heart of the Bronx at the graffiti “I love the Bronx” by Tats Cru in which the main symbols of New York are represented. Afterwards, we will stop at Arthur Avenue, famous for its “Little Italy” where it seems that time has never passed. The tour continues towards deep Queens passing through the Malba district until you reach Corona Park * to visit the famous “Unisphere”. The tour then takes you to Brooklyn passing through the Jewish quarter until you reach the Dumbo area where you can admire the panorama of Manhattan and the impressive Brooklyn Bridge. The tour ends in Manhattan's Little Italy.",ro
10958,306208P2,PADI Certification,Once you have completed this course you will be able to dive anywhere in the world! Can you imagine being able to discover the seabed when you travel to an exotic destination? You will be able to live in person being in an aquarium surrounded by colorful fish.,it
10965,30669P6,One General Admission Ticket,"Club Bonafide, founded in 2015 by world-renowned musician Richard Bona, is bringing live music back to 52nd Street! Hearkening back to the golden age of jazz in the 1930's, 40's & 50's, this eclectic venue features world-class artists performing a variety of musical genres including jazz, blues, funk, soul, latin, world and more.",de
10968,306964P2,Personal Guide,"Join our guided walking tour in Barcelona and explore the streets of this amazing city, where you will discover the architecture of the city throughout the Gothic quarter, the old town, the Ramblas and the renowned Passeig de Gràcia.

The history of Barcelona spreads out during a period of over 4.000 years. In more recent history, it's most known for being the home of the Sagrada Familia, the host city of the Olympic Games in 1992 and the home of FC Barcelona. 

As we move on from our meeting spot we’ll guide you through the center where we’ll encounter the Palau de la Música, Els 4 Gats before reaching Plaça Catalunya. 

The meeting point will be right in the middle of the Plaça Catalunya Square, please get the there on time!
",es
10969,306964P4,Personal Guide; Drink Deals; Fun Games; VIP Entrance to all venues,"The moment has arrived! 

It’s time for people to get together and enjoy social life, and in case you are looking for a night out in Barcelona, this is the place to go.

Join travelers, expats and locals together in a place where you will enjoy and experience Barcelona’s best bars and nightlife venues along with our team of local experts.

The tour includes free entrance to a night-club and a total of 3 shots (in some bars, only when you order a drink)!

Checklist:

ID - Please make sure that you carry your ID with you.
Attitude - Naturally we are here for a night out, but we’d like to ask you to not show up already drunk.
Dress Code - Smart Casual, no flip flops, sports shoes or tank tops.

Meeting point: 

The Shamrock
C/ dels Tallers, 72
Ciutat Vella, 
08001
Barcelona, Spain
",es
10970,306964P6,Tour Guide,"Join our guided walking tour in Barcelona and explore the streets of this amazing city, where you will discover the architecture of the city throughout the Gothic quarter, the old town, the Ramblas and the renowned Passeig de Gràcia.

The history of Barcelona spreads out during a period of over 4.000 years. In more recent history, it's most known for being the home of the Sagrada Familia, the host city of the Olympic Games in 1992 and the home of FC Barcelona. 

As we move on from our meeting spot we’ll guide you through the center where we’ll encounter the Palau de la Música, Els 4 Gats before reaching Plaça Catalunya. This square marks the starting point of the Passeig de Gràcia where you’ll experience some of Gaudi’s masterpieces such as La Pedrera or La Cassa Batlló.

The meeting point will be right underneath the Arc de Triomf monument.",fr
10976,307607P2,Premium kayak; Kayak paddles; Splash bag rentals (water resistant); Life jacket,"Immerse yourself in the awe-inspiring beauty of Austin's iconic Barton Creek on this 2.5-mile round-trip paddle accompanied by one of our experienced Tour Guides. 

With Downtown Austin as your backdrop, you'll paddle alongside the ever-popular Zilker Park on your journey to engage with the nature, wildlife, and natural history of Barton Springs – famous for its year-round 68-degree (f) water. 

Weather permitting, participants are encouraged to put themselves in the shoes of ancestors long before them who considered the waters of Barton Creek and Barton Springs of a sacred nature, by taking a quick dip in the shallow area at the headwaters of the creek. This public departure requires advanced registration and does not exceed 25 participants.",id
